mz	Intensity	SN	Resolution
103.78697	862303		1129337
103.79852	798499		1185678
103.81278	812323		923630
103.85026	779470		1561145
103.85432	802733		1270357
103.88458	857061		1350318
103.88653	774461		1233587
103.895	779560		1203208
103.89537	845284		908769
103.9009	784200		1133271
103.90188	837516		1367380
103.91501	811148		1413132
103.94047	855271		1181517
103.94112	839003		975964
103.9454	793403		1328622
103.97402	893098		1393699
103.99278	974970		1290616
104.01587	829617		1227894
104.01864	817561		1445889
104.03486	824832		1509118
104.03835	785600		1293164
104.04825	895296		1066230
104.07238	940999		968995
104.07993	788563		1285472
104.08504	822851		1215350
104.09296	895003		863074
104.13195	844334		984672
104.15384	903101		1328447
104.156	775221		1592873
104.17338	856121		970672
104.19448	778732		1318347
104.19528	952572		1032329
104.20301	819796		1251326
104.20713	854084		1419455
104.21518	783484		1016641
104.23632	778067		1027069
104.24537	782203		1197320
104.28271	917906		1175535
104.28845	783613		979173
104.29436	778957		1122930
104.30561	774265		1168198
104.31873	827013		992923
104.33184	787788		844510
104.34452	831616		957766
104.35788	808736		1283512
104.36134	870511		990445
104.37133	784975		1095485
104.38489	1009559		1246130
104.38764	805495		1248353
104.41842	776920		979120
104.42576	956070		744175
104.49145	819456		1051349
104.49963	845268		913249
104.50166	790908		1294436
104.51119	794731		1164011
104.52491	876687		1073262
104.52537	793599		1028008
104.55527	859146		1239025
104.56479	848594		1633981
104.58582	923833		1503720
104.59855	798553		1433267
104.59968	820637		852155
104.61102	776584		1537605
104.61999	812752		1319390
104.63267	828288		1271707
104.64084	789480		1539733
104.66335	786687		1129527
104.68321	807350		1398265
104.68736	776014		1262084
104.68893	774438		956664
104.68961	776086		1025239
104.69796	784918		1123314
104.7076	799366		1031230
104.74046	848693		1096564
104.78039	797564		1155738
104.78573	886044		941609
104.7897	817811		1405453
104.82103	783403		1073990
104.83742	783218		1234584
104.85238	909594		1139693
104.85687	777978		695920
104.86242	878449		1325933
104.86479	969393		1208252
104.88376	814005		917751
104.89482	795169		1565503
104.89608	873872		1400964
104.9029	780872		1552904
104.90302	782224		1523042
104.90549	833120		1059868
104.90565	849136		930072
104.96022	796899		937542
104.97245	800978		853794
104.98307	781830		1471179
104.9907	840114		1048346
105.0247	831245		1181017
105.03256	825829		1080742
105.03326	828433		784464
105.04224	794680		1020538
105.05183	826236		1314039
105.054	850768		900544
105.06596	851388		939365
105.09073	921003		896082
105.11554	776802		1278889
