mz	Intensity	SN	Resolution
235.20592	4266233		394379
236.0645	3197540		533619
237.11208	1852186		503691
237.11246	2769947		425668
237.14865	3216426		403052
237.22154	116663368		409593
237.22211	9675848		735092
238.06249	3005348		468412
238.22484	18949606		414010
239.12793	2042712		494767
239.14313	2344798		508528
239.23692	8218757		489603
239.2373	12375941		403375
240.24064	3076378		516714
241.09332	29571694		350346
241.15879	6755976		359099
241.19511	3513494		352433
241.21654	6072991		486849
242.09658	3375097		382470
243.17446	1704860		289396
243.21077	21765546		401337
243.23213	134131120		447840
244.21413	3903274		392426
244.23549	24276786		447257
244.89212	2303019		464856
245.22652	166736048		385803
245.23883	1727405		434423
246.22985	27439646		349054
246.89002	2485008		540783
247.13285	2980201		400188
247.16932	2366838		384464
247.20589	4798340		360271
247.23309	2563981		513357
247.24218	236958608		378285
248.24558	50943228		376634
249.11219	2052656		335104
249.14855	3025725		464556
249.14887	3075133		619440
249.18493	31708746		491729
249.18542	4859466		3094846
249.22149	6071383		297543
249.24888	4155489		385492
249.25803	7722596		417364
250.08641	2353543		499896
250.18827	5593003		461454
250.2249	1857463		622111
250.26126	1884356		430526
250.82375	1808263		422279
251.12818	1871088		388700
251.16355	1832188		796269
251.16442	9943293		319215
251.20083	3399945		381397
251.23724	26892566		376589
252.04164	34208296		399528
252.1595	6222417		360902
252.1678	1954387		336353
252.24062	5042796		403269
253.04495	3661691		500824
253.10731	1797264		453922
253.14371	3242780		315182
253.18017	3979176		358853
253.19517	2372013		556822
253.21663	2006964		441518
254.03961	40983748		414425
255.04288	3310094		385450
255.10906	18480676		421743
255.15939	3144244		399501
255.2108	6271557		402123
255.23219	30752332		437263
256.11249	1726567		423303
256.23557	5654414		458764
256.26354	9056151		399940
257.18999	1849021		457672
257.22642	5963976		445625
257.24765	9903161344		452445
257.26479	1735892		823668
257.26693	2953429		579183
258.25104	1595294208		449942
258.2539	30269962		413433
259.15424	1894686		506663
259.1693	3219235		398720
259.20566	3914542		413878
259.24221	4718394		380153
259.25208	25449276		395947
259.2545	102155072		424082
260.25543	4573293		390941
260.2579	3559533		395406
261.1124	2078061		419049
261.14861	2837368		300503
261.18506	2360706		380061
261.22152	30643598		346943
261.25791	5318040		415859
261.92934	1896542		497364
262.22475	4682677		272027
262.92058	1961855		569809
263.09139	2201520		460558
263.12757	1987515		504892
263.12813	2678203		346038
263.14734	2255808		416857
263.1642	3323333		348589
263.23721	425871328		391207
264.24055	75958520		344692
265.10719	1925357		386851
265.14369	4225015		347001
265.1799	12775937		320175
265.1809	1784321		932629
265.21652	4214796		354333
265.24403	5656083		309648
265.25279	855788032		417467
266.18332	3287832		429344
266.25624	122587944		341195
267.12303	2276889		447746
267.15929	3029026		320322
267.17448	2339366		417406
267.19568	2610220		436057
267.21075	3533872		461856
267.25954	10174525		315162
267.26864	33647680		338365
268.03654	2605839		471393
268.27198	5760334		271819
268.97842	4489737		487040
269.13868	1951283		563849
269.15358	1727031		501984
269.18996	3122753		456042
269.21143	2634311		412434
269.22643	5946955		382950
269.24786	12439120		375746
270.03454	1902878		486830
270.24273	2095444		470099
270.25111	2718038		348425
271.16935	2076738		485016
271.20566	7305291		369941
271.24209	7528533		288552
271.26336	1518751872		402181
272.2668	197775696		338471
273.14849	1892404		402411
273.18491	4145213		272291
273.22135	5939782		378320
273.25776	8028751		296454
273.26772	4452946		339425
273.27012	15387218		328141
273.93145	1825525		438374
273.9618	1908476		346779
274.26106	1749061		322806
274.27412	2237769		435907
275.16424	4132896		419956
275.20066	7151657		330736
275.23712	4196914		294993
275.27345	7967802		357004
276.18178	1903891		416613
276.20406	2465048		376382
276.27685	2320169		383501
277.10707	2356716		336917
277.14348	3175413		353604
277.17991	41539068		324789
277.21638	32740870		325153
277.2526	1732878		274901
277.28918	2138135		475916
278.18323	6909670		330329
278.21972	5867246		311870
278.86523	2463105		423245
279.15955	37050308		324200
279.19557	10864588		353795
279.23219	121460696		340668
280.16287	6605989		265120
280.19888	1860269		519228
280.2355	25393334		328023
280.26377	3963580		331534
280.86308	5124417		381848
281.05043	4372842		702005
281.05119	43071848		376760
281.13871	1869693		347544
281.17506	2219909		419612
281.21102	1949069		323270
281.24793	61806996		396415
282.05075	11063876		389645
282.05447	3210821		350097
282.25135	8979055		367673
282.27942	37788276		315242
282.86099	2467571		480273
283.04802	6765339		428229
283.15418	1737009		370147
283.17545	3746614		381045
283.24212	7883588		342500
283.26242	9304904		650020
283.26308	48143176		427425
283.2637	70015816		425774
283.26439	7985993		583134
283.28278	6087501		284233
284.05056	2620911		417074
284.26647	10972188		449002
284.26708	12389404		402780
284.29409	1874978		1284171
284.29484	11578402		394652
284.9612	2213549		401086
285.14884	1922260		380071
285.17021	2474713		393356
285.18502	2541788		534066
285.22135	7886051		388531
285.24237	3461351		422676
285.24305	1852648		341449
285.2549	1874154		737834
285.27895	12960816128		409895
286.22477	2886065		432321
286.28236	2406374912		404334
